Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million)
Mike Tyson,USA,1,Not Listed,Boxing,1990,28.6
Buster Douglas,USA,2,Not Listed,Boxing,1990,26
Sugar Ray Leonard,USA,3,Not Listed,Boxing,1990,13
Ayrton Senna,Brazil,4,Not Listed,Auto Racing,1990,10
Alain Prost,France,5,Not Listed,Auto Racing,1990,9
Jack Nicklaus,USA,6,Not Listed,Golf,1990,8.6
Greg Norman,Australia,7,Not Listed,Golf,1990,8.5
Michael Jordan,USA,8,Not Listed,Basketball,1990,8.1
Arnold Palmer,USA,8,Not Listed,Golf,1990,8.1
Evander Holyfield,USA,8,Not Listed,Boxing,1990,8.1
Evander Holyfield,USA,1,8,Boxing,1991,60.5
Mike Tyson,USA,2,1,Boxing,1991,31.5
Michael Jordan,USA,3,8,Basketball,1991,16
George Foreman,USA,4,>10,Boxing,1991,14.5
Ayrton Senna,Brazil,5,4,Auto Racing,1991,13
Alain Prost,France,6,5,Auto Racing,1991,11
"Donovan ""Razor"" Ruddock",Canada,7,>10,Boxing,1991,10.2
Arnold Palmer,USA,8,8,Golf,1991,9.3
Nigel Mansell,UK,9,>10,Auto Racing,1991,9
Sugar Ray Leonard,USA,10,6,Golf,1991,8.5
Michael Jordan,USA,1,3,Basketball,1992,35.9
Evander Holyfield,USA,2,1,Boxing,1992,28
Ayrton Senna,Brazil,3,5,Auto Racing,1992,22
Nigel Mansell,UK,4,9,Auto Racing,1992,14.5
Arnold Palmer,USA,5,8,Golf,1992,11.1
Andre Agassi,USA,6,>10,Tennis,1992,11
Joe Montana,USA,7,>10,American Football,1992,9.5
Sugar Ray Leonard,USA,8,10,Golf,1992,9.2
Jim Courier,USA,9,>10,Tennis,1992,9
Monica Seles,USA,10,>10,Tennis,1992,8.5
Michael Jordan,USA,1,1,Basketball,1993,36
Riddick Bowe,USA,2,>10,Boxing,1993,25
Ayrton Senna,Brazil,3,3,Auto Racing,1993,18.5
Alain Prost,France,4,>10,Auto Racing,1993,16
George Foreman,USA,5,>10,Boxing,1993,15.8
